"","PaymentDate","Code","Type","Account","Quantity","Sum"
"54","2019-01-25",886,"Other Benefits",5179,2,1599
"55","2019-05-25",170,"Recurring Salary Increment",5069,1,600
"56","2019-04-25",170,"Recurring Salary Increment",5069,1,600
"57","2019-03-25",170,"Recurring Salary Increment",5069,1,600
"58","2019-02-25",170,"Recurring Salary Increment",5069,1,600
"59","2019-01-25",170,"Recurring Salary Increment",5069,1,600
"60","2018-12-25",170,"Recurring Salary Increment",5069,1,600
"61","2018-11-25",170,"Recurring Salary Increment",5069,1,600
"62","2018-11-25",170,"Recurring Salary Increment",5069,1,600
"63","2018-09-25",170,"Recurring Salary Increment",5069,1,600
"64","2018-08-25",170,"Recurring Salary Increment",5039,1,600
"65","2018-07-25",170,"Recurring Salary Increment",5039,1,600
"66","2018-06-25",170,"Recurring Salary Increment",5039,1,600
"67","2018-11-25",970,"Advance Payment Deduction",1610,3,-343
"68","2018-09-25",970,"Advance Payment Deduction",1610,0,283
"69","2018-07-25",970,"Advance Payment Deduction",1610,2,-8185
"70","2019-05-25",530,"Workers Vacation Deduction < 15 days ",5044,60,-8541
"71","2019-04-25",530,"Workers Vacation Deduction < 15 days ",5044,48,-6917
"72","2019-03-25",530,"Workers Vacation Deduction < 15 days ",5044,8,-1152
"73","2019-02-25",530,"Workers Vacation Deduction < 15 days ",5044,18,-2734
"74","2019-01-25",530,"Workers Vacation Deduction < 15 days ",5044,12,-1823
"75","2018-11-25",530,"Workers Vacation Deduction < 15 days ",5044,8,-1189
"76","2018-09-25",530,"Workers Vacation Deduction < 15 days ",5044,206,-28545
"77","2018-08-25",530,"Workers Vacation Deduction < 15 days ",5044,260,-36043
"78","2018-07-25",530,"Workers Vacation Deduction < 15 days ",5044,79,-10603
"79","2019-05-25",531,"Workers Vacation Deduction > 14 days ",5044,30,-17500
"80","2018-12-25",531,"Workers Vacation Deduction > 14 days ",5044,29,-16759
"81","2018-11-25",531,"Workers Vacation Deduction > 14 days ",5044,11,-6357
"82","2018-09-25",531,"Workers Vacation Deduction > 14 days ",5044,15,-10538
"83","2018-08-25",531,"Workers Vacation Deduction > 14 days ",5044,63,-43666
"84","2018-07-25",531,"Workers Vacation Deduction > 14 days ",5044,22,-12896
"85","2018-06-25",531,"Workers Vacation Deduction > 14 days ",5044,13,-10221
"86","2019-05-25",810,"Gasoline Compensation - Tax Exempt",5131,76,141
"87","2019-04-25",810,"Gasoline Compensation - Tax Exempt",5131,79,146
"88","2019-02-25",810,"Gasoline Compensation - Tax Exempt",5131,35,65
"89","2019-01-25",810,"Gasoline Compensation - Tax Exempt",5131,270,500
"90","2018-12-25",810,"Gasoline Compensation - Tax Exempt",5131,100,185
"91","2018-11-25",810,"Gasoline Compensation - Tax Exempt",5131,780,1443
"92","2018-07-25",810,"Gasoline Compensation - Tax Exempt",5131,310,574
"93","2018-06-25",810,"Gasoline Compensation - Tax Exempt",5131,0,0
"94","2019-05-25",800,"Gasoline Compensation - Taxed",5130,76,76
"95","2019-04-25",800,"Gasoline Compensation - Taxed",5130,79,79
"96","2019-02-25",800,"Gasoline Compensation - Taxed",5130,35,35
"97","2019-01-25",800,"Gasoline Compensation - Taxed",5130,270,270
"98","2018-12-25",800,"Gasoline Compensation - Taxed",5130,100,100
"99","2018-11-25",800,"Gasoline Compensation - Taxed",5130,780,780
"100","2018-07-25",800,"Gasoline Compensation - Taxed",5130,310,310
"101","2018-06-25",800,"Gasoline Compensation - Taxed",5130,0,0
"102","2019-03-25",132,"CEO Bonus",5070,1,77049
"103","2019-04-25",130,"Managerial Bonus",5070,2,1000
"104","2019-02-25",130,"Managerial Bonus",5070,2,4000
"105","2018-12-25",130,"Managerial Bonus",5070,3000,3000
"106","2018-11-25",130,"Managerial Bonus",5070,2,3000
"107","2018-11-25",130,"Managerial Bonus",5070,2,5000
"108","2018-09-25",130,"Managerial Bonus",5070,2000,2000
"109","2018-07-25",130,"Managerial Bonus",5070,3000,3000
"110","2019-05-25",528,"Vacation Pay-Managerial Bonus",5085,3,2926
"111","2019-05-25",827,"Wellness Benefit",5673,1,400
"112","2019-03-25",827,"Wellness Benefit",5673,800,800
"113","2019-01-25",827,"Wellness Benefit",5673,1,0
"115","2019-02-25",482,"Probationary Sick Leave Deduction-Salary",5047,20,-2306
"116","2019-05-25",492,"Probationary Sick Leave Deduction-Hourly",5047,7,-649
"117","2019-02-25",492,"Probationary Sick Leave Deduction-Hourly",5047,2,-214
"118","2019-03-25",222,"Extra Free Hours Earned-Payout",5055,0,9783
"119","2018-08-25",222,"Extra Free Hours Earned-Payout",5055,0,3385
"120","2018-07-25",222,"Extra Free Hours Earned-Payout",5055,1,4834
"121","2019-05-25",845,"Lunch/Dinner Deduction",3001,283,-13301
"122","2019-04-25",845,"Lunch/Dinner Deduction",3001,340,-15640
"123","2019-03-25",845,"Lunch/Dinner Deduction",3001,305,-14030
"124","2019-02-25",845,"Lunch/Dinner Deduction",3001,311,-14306
