"","Payment Date","Code","Type","Account","Quantity","Sum"
"213","20190525",0,"Nettpay",0,0,479083
"214","20190425",0,"Nettpay",0,0,398034
"215","20190325",0,"Nettpay",0,0,409595
"216","20190225",0,"Nettpay",0,0,343833
"217","20190125",0,"Nettpay",0,0,360092
"218","20181225",0,"Nettpay",0,0,432748
"219","20181125",0,"Nettpay",0,0,398179
"220","20181025",0,"Nettpay",0,0,382269
"221","20180925",0,"Nettpay",0,0,387065
"222","20180825",0,"Nettpay",0,0,419787
"223","20180725",0,"Nettpay",0,0,356784
"224","20180625",0,"Nettpay",0,0,364616
"406","20190525",917,"Taxes",2711,-1,196304
"407","20190425",917,"Taxes",2711,-1,157659
"408","20190325",917,"Taxes",2711,-1,188627
"409","20190225",917,"Taxes",2711,-1,132713
"410","20190125",917,"Taxes",2711,-1,138544
"411","20181225",917,"Taxes",2711,-1,175066
"412","20181125",917,"Taxes",2711,-1,162075
"413","20181025",917,"Taxes",2711,-1,151861
"414","20180925",917,"Taxes",2711,-1,154086
"415","20180825",917,"Taxes",2711,-1,166377
"416","20180725",917,"Taxes",2711,-1,143479
"417","20180625",917,"Taxes",2711,-1,143381
"420","20190525",0,"Social Security Fees",0,0,150527
"421","20190425",0,"Social Security Fees",0,0,125062
"422","20190325",0,"Social Security Fees",0,0,128694
"423","20190225",0,"Social Security Fees",0,0,108032
"424","20190125",0,"Social Security Fees",0,0,113140
"425","20181225",0,"Social Security Fees",0,0,135969
"426","20181125",0,"Social Security Fees",0,0,125107
"427","20181025",0,"Social Security Fees",0,0,120108
"428","20180925",0,"Social Security Fees",0,0,121615
"429","20180825",0,"Social Security Fees",0,0,131897
"430","20180725",0,"Social Security Fees",0,0,112101
"431","20180625",0,"Social Security Fees",0,0,114562
